clo_id,user_id,class_id,activity_id,type,cri_id,submission_id,submitted_at,spent_time,due_date,level,point
26701,84274,53551,704244,ASM,931113,1239938,2021-08-13 05:30:29,,2021-08-13 12:00:59,3,60.0
26701,84275,53551,704244,ASM,931113,1239579,2021-08-12 22:46:21,,2021-08-13 12:00:59,3,60.0
26701,84276,53551,704244,ASM,931113,1239433,2021-08-12 20:24:05,,2021-08-13 12:00:59,3,60.0
26701,84277,53551,704244,ASM,931113,1239493,2021-08-12 21:17:52,,2021-08-13 12:00:59,3,60.0
26701,84278,53551,704244,ASM,931113,1239259,2021-08-12 18:36:00,,2021-08-13 12:00:59,3,60.0
26701,84279,53551,704244,ASM,931113,1239401,2021-08-12 19:54:13,,2021-08-13 12:00:59,3,60.0
26701,84280,53551,704244,ASM,931113,1239202,2021-08-12 17:36:01,,2021-08-13 12:00:59,3,60.0
26701,84281,53551,704244,ASM,931113,1239160,2021-08-12 17:08:38,,2021-08-13 12:00:59,3,60.0
26701,84282,53551,704244,ASM,931113,1240282,2021-08-13 11:04:28,,2021-08-13 12:00:59,3,60.0
26701,84283,53551,704244,ASM,931113,1239289,2021-08-12 19:07:58,,2021-08-13 12:00:59,3,60.0
26701,84285,53551,704244,ASM,931113,1239581,2021-08-12 22:50:08,,2021-08-13 12:00:59,3,60.0
26701,84286,53551,704244,ASM,931113,1239143,2021-08-12 16:57:33,,2021-08-13 12:00:59,3,60.0
26701,84287,53551,704244,ASM,931113,1239278,2021-08-12 18:59:23,,2021-08-13 12:00:59,3,60.0
26701,84288,53551,704244,ASM,931113,1239585,2021-08-12 22:51:36,,2021-08-13 12:00:59,3,60.0
26701,84289,53551,704244,ASM,931113,1239424,2021-08-12 20:19:17,,2021-08-13 12:00:59,3,60.0
26701,84291,53551,704244,ASM,931113,1239958,2021-08-13 08:51:56,,2021-08-13 12:00:59,3,60.0
26701,84294,53551,704244,ASM,931113,1239149,2021-08-12 17:00:14,,2021-08-13 12:00:59,3,60.0
26701,84295,53551,704244,ASM,931113,1239448,2021-08-12 20:33:09,,2021-08-13 12:00:59,3,60.0
26701,84296,53551,704244,ASM,931113,1239169,2021-08-12 17:17:22,,2021-08-13 12:00:59,3,60.0
